OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
5437,{777310E8-8A66-4BD8-8C42-1143DA51F839},2023/03/28 18:29:32+00,,426,E Conyer/W Conyer/Panola - DT,,bus,,SRTA,SRTA,,
5438,{7B4C24C2-CFDD-4FBD-ACE4-BB75FE68FD3E},2023/03/28 18:27:07+00,,197,Battle Creek Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5439,{7B53B325-1EAD-46F6-A003-93CE38118507},2023/03/28 18:29:32+00,,485,Hickory Grove - Downtown,,bus,,SRTA,SRTA,,
5440,{7B5D2D25-5F76-4DAA-A9D0-6EE5FE67D1F8},2023/03/28 18:27:07+00,,121,Memorial Drive / N Hairston Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5441,{7B687212-D9A6-46E1-A7DF-1EC99C90F521},2023/03/28 18:29:32+00,,417,Sugarloaf Mills - Perimeter,,bus,,SRTA,SRTA,,
5442,{7CC43BDA-2CE3-4120-90D7-8C364968415A},2023/03/28 18:29:32+00,,431,BrandsMart/Stockbridge - MT,,bus,,SRTA,SRTA,,
5443,{7D336045-D501-468F-911F-90781DD51699},2023/03/28 18:29:32+00,,412,Sugarloaf Mills - Midtown,,bus,,SRTA,SRTA,,
5444,{7FE7A1AC-82B9-41A5-B642-57D7EAD1B3E1},2023/03/28 18:27:07+00,,89,Old National Highway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5445,{800848FE-5F02-4A5D-A7B1-056F2CC6A1BC},2023/03/28 18:27:07+00,,823,Belvedere,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5446,{809496F7-13E1-458F-AF66-1801694DC85A},2023/03/28 18:27:07+00,,50,CTC - MTC via Powers Ferry,,bus,,COBBLINC,CobbLinc,,
5447,{81C54DF5-1970-4844-AF0B-391DB9DEBF15},2023/03/28 18:27:07+00,,853,Center Hill,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5448,{87A4C93E-B2B5-4CF4-839F-87DE13250CCA},2023/03/28 18:27:07+00,,102,Indian Trail P&R - Downtown Atlanta,,bus,,GCT,Gwinnett County Transit,,
5449,{891B647D-183E-4F7E-A3C7-7620A5A89FF3},2023/03/28 18:27:07+00,,40,Lawrenceville - GTC - Sugarloaf Mills,,bus,,GCT,Gwinnett County Transit,,
5450,{8AA98A4D-6EDC-45B3-8E7A-94152C64E8F0},2023/03/28 18:29:32+00,,490,Woodstock - Downtown,,bus,,SRTA,SRTA,,
5451,{8C2CBAAD-4F24-4F99-8BDF-09C5A830CFEE},2023/03/28 18:27:07+00,,84,Washington Rd/Camp Crk Marketplace,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5452,{8DC725DC-ED2A-4B4C-B7A5-4CA1331967CC},2023/03/28 18:29:32+00,,430,McDonough - Downtown,,bus,,SRTA,SRTA,,
5453,{90392606-6E6B-48A6-BAEA-B98D104A9CDA},2023/03/28 18:27:07+00,,193,Morrow / Jonesboro,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5454,{910B3444-C183-4DEB-829A-3A5F983F1158},2023/03/28 18:27:07+00,,192,Old Dixie / Tara Boulevard,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5455,{91D36C7E-19A3-4CD9-9C22-4D16EC3BEF14},2023/03/28 18:29:32+00,,416,Dacula - Downtown,,bus,,SRTA,SRTA,,
5456,{927E97C3-0FF8-4CB7-8611-1205366BE07C},2023/03/28 18:27:07+00,,188,Oakley Industrial,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5457,{933F7F02-D199-4B84-977C-79CF70E4F2FB},2023/03/28 18:27:07+00,,114,Columbia Drive,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5458,{935F287C-045C-40CA-B449-F5951AC48164},2023/03/28 18:27:07+00,,816,North Highland Avenue,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5459,{9A16CA1A-3EC5-443D-90B4-360096356292},2023/03/28 18:27:07+00,,85,Roswell,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5460,{9DFBEAFC-F4B0-4A1F-BA8E-83E82458AC20},2023/03/28 18:27:07+00,,86,Fairington Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5461,{9E0A419E-8531-4F5A-B616-2B895FBD2E7E},2023/03/28 18:29:32+00,,428,W Conyers/Panola - Perimeter,,bus,,SRTA,SRTA,,
5462,{9E6F320E-758D-4933-8B25-E5C922A47428},2023/03/28 18:27:07+00,,30,Hamilton E. Holmes Station/MTC,,bus,,COBBLINC,CobbLinc,,
5463,{9ED09552-C5F9-472C-8502-FE83C8069D59},2023/03/28 18:27:07+00,,103,Sugarloaf Mills P&R - Downtown Atlanta,,bus,,GCT,Gwinnett County Transit,,
5464,{9F7D3718-C6C1-4135-A109-20E7AC701708},2023/03/28 18:27:07+00,,198,Southlake Parkway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5465,{A0758A65-C833-4DB4-9BE3-74EFAFECD31F},2023/03/28 18:27:07+00,,73,Fulton Industrial,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5466,{A1408E9F-5E41-47FC-B50B-325E665ACB63},2023/03/28 18:27:07+00,,120,East Ponce De Leon Avenue,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5467,{A1DD04B1-6D24-4122-B512-EC3B4DA3CADC},2023/03/28 18:27:07+00,,82,Camp Creek / South Fulton Parkway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5468,{A2B48D37-F44D-4776-8A47-365C8CC017D2},2023/03/28 18:27:07+00,,165,Fairburn Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5469,{A4122EDA-78EC-4B3A-A7C1-7F0BB8960B87},2023/03/28 18:29:32+00,,463,W Douglas/Douglas MMTC - DT/MT,,bus,,SRTA,SRTA,,
5470,{A59E87BF-1626-4999-A1B6-33BEE36A54AE},2023/03/28 18:27:07+00,,125,Clarkston,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5471,{A6BAE24F-FE64-4EE9-80FB-1F4D1A4BC713},2023/03/28 18:27:07+00,,83,Campbellton Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5472,{A6EE171D-F588-4AE1-A18D-624EF5BE8521},2023/03/28 18:27:07+00,,30,Lilburn - GTC,,bus,,GCT,Gwinnett County Transit,,
